Info 0    [18:43:36.166] Starting TS Server
Info 52   [18:49:45.474] Different program with same set of files
Info 53   [18:49:45.849] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [18:49:45.909] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 60.01487299799919ms
Info 55   [18:49:45.909] Different program with same set of files
Info 56   [18:49:45.912] getCompletionData: Get current token: 0.03296300023794174
Info 57   [18:49:45.912] getCompletionData: Is inside comment: 0.010892000049352646
Info 58   [18:49:45.912] getCompletionData: Get previous token: 0.23372700065374374
Info 59   [18:49:45.913] getCompletionsAtPosition: isCompletionListBlocker: 0.35767000168561935
Info 60   [18:49:45.927] getExportInfoMap: cache miss or empty; calculating new results
Info 61   [18:49:46.203] forEachExternalModuleToImportFrom autoImportProvider: 180.6991139985621
Info 62   [18:49:46.203] getExportInfoMap: done in 276.9112490005791 ms
Info 63   [18:49:46.238] collectAutoImports: resolved 14 module specifiers, plus 0 ambient and -107 from cache
Info 64   [18:49:46.238] collectAutoImports: response is complete
Info 65   [18:49:46.238] collectAutoImports: 34.02309600263834
Info 66   [18:49:46.238] getCompletionData: Semantic work: 324.57188399881124
Info 67   [18:49:46.265] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 25.781729999929667
Info 68   [18:49:46.318] getCompletionData: Get current token: 0.016968000680208206
Info 69   [18:49:46.318] getCompletionData: Is inside comment: 0.005438998341560364
Info 70   [18:49:46.318] getCompletionData: Get previous token: 0.06391400098800659
Info 71   [18:49:46.318] getCompletionsAtPosition: isCompletionListBlocker: 0.004513997584581375
Info 72   [18:49:46.320] getExportInfoMap: cache hit
Info 73   [18:49:46.335] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 74   [18:49:46.336] collectAutoImports: response is complete
Info 75   [18:49:46.336] collectAutoImports: 15.164213001728058
Info 76   [18:49:46.336] getCompletionData: Semantic work: 17.346015002578497
Info 77   [18:49:46.349] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.590902000665665
Info 78   [18:49:46.355] getCompletionData: Get current token: 0.01839500293135643
Info 79   [18:49:46.355] getCompletionData: Is inside comment: 0.005862001329660416
Info 80   [18:49:46.355] getCompletionData: Get previous token: 0.07502499967813492
Info 81   [18:49:46.355] getCompletionsAtPosition: isCompletionListBlocker: 0.004923999309539795
Info 82   [18:49:46.357] getExportInfoMap: cache hit
Info 83   [18:49:46.370] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 84   [18:49:46.370] collectAutoImports: response is complete
Info 85   [18:49:46.370] collectAutoImports: 13.382093001157045
Info 86   [18:49:46.370] getCompletionData: Semantic work: 15.534419998526573
Info 87   [18:49:46.383] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.968589998781681
Info 88   [18:49:46.387] getCompletionData: Get current token: 0.02430799975991249
Info 89   [18:49:46.387] getCompletionData: Is inside comment: 0.014581002295017242
Info 90   [18:49:46.387] getCompletionData: Get previous token: 0.10101800039410591
Info 91   [18:49:46.387] getCompletionsAtPosition: isCompletionListBlocker: 0.01433500275015831
Info 92   [18:49:46.390] getExportInfoMap: cache hit
Info 93   [18:49:46.401] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 94   [18:49:46.401] collectAutoImports: response is complete
Info 95   [18:49:46.401] collectAutoImports: 11.575759999454021
Info 96   [18:49:46.401] getCompletionData: Semantic work: 14.002732999622822
Info 97   [18:49:46.415] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.22835100069642
Info 98   [18:49:46.729] getCompletionData: Get current token: 0.02552799880504608
Info 99   [18:49:46.729] getCompletionData: Is inside comment: 0.01066499948501587
Info 100  [18:49:46.729] getCompletionData: Get previous token: 0.04600900039076805
Info 101  [18:49:46.730] getCompletionsAtPosition: isCompletionListBlocker: 0.005960002541542053
Info 102  [18:49:46.733] getExportInfoMap: cache hit
Info 103  [18:49:46.810] collectAutoImports: resolved 56 module specifiers, plus 0 ambient and -5289 from cache
Info 104  [18:49:46.810] collectAutoImports: response is complete
Info 105  [18:49:46.810] collectAutoImports: 77.21708500012755
Info 106  [18:49:46.810] getCompletionData: Semantic work: 80.61460299789906
Info 107  [18:49:46.825] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.62288200110197
Info 108  [18:49:46.830] getCompletionData: Get current token: 0.01793299987912178
Info 109  [18:49:46.830] getCompletionData: Is inside comment: 0.012000001966953278
Info 110  [18:49:46.830] getCompletionData: Get previous token: 0.04828899726271629
Info 111  [18:49:46.830] getCompletionsAtPosition: isCompletionListBlocker: 0.004627998918294907
Info 112  [18:49:46.834] getExportInfoMap: cache hit
Info 113  [18:49:46.909] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 442 from cache
Info 114  [18:49:46.909] collectAutoImports: response is complete
Info 115  [18:49:46.909] collectAutoImports: 74.79269300028682
Info 116  [18:49:46.909] getCompletionData: Semantic work: 79.25444200262427
Info 117  [18:49:46.917] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.273970998823643
Info 118  [18:49:46.922] getCompletionData: Get current token: 0.017992999404668808
Info 119  [18:49:46.922] getCompletionData: Is inside comment: 0.0057040005922317505
Info 120  [18:49:46.922] getCompletionData: Get previous token: 0.04137999936938286
Info 121  [18:49:46.922] getCompletionsAtPosition: isCompletionListBlocker: 0.004648000001907349
Info 122  [18:49:46.923] getExportInfoMap: cache hit
Info 123  [18:49:46.959] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 442 from cache
Info 124  [18:49:46.959] collectAutoImports: response is complete
Info 125  [18:49:46.959] collectAutoImports: 35.209356997162104
Info 126  [18:49:46.959] getCompletionData: Semantic work: 36.72239900007844
Info 127  [18:49:46.966] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.941261999309063
Info 128  [18:49:46.971] getCompletionData: Get current token: 0.018219999969005585
Info 129  [18:49:46.971] getCompletionData: Is inside comment: 0.006250999867916107
Info 130  [18:49:46.971] getCompletionData: Get previous token: 0.04652000218629837
Info 131  [18:49:46.971] getCompletionsAtPosition: isCompletionListBlocker: 0.004174999892711639
Info 132  [18:49:46.974] getExportInfoMap: cache hit
Info 133  [18:49:47.013] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 442 from cache
Info 134  [18:49:47.013] collectAutoImports: response is complete
Info 135  [18:49:47.013] collectAutoImports: 38.847355999052525
Info 136  [18:49:47.013] getCompletionData: Semantic work: 41.529081001877785
Info 137  [18:49:47.021] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.541964001953602
Info 138  [18:49:47.789] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [18:49:47.847] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 57.094050001353025ms
Info 140  [18:49:47.847] Different program with same set of files
Info 141  [18:49:50.865] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 142  [18:49:50.922] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 56.738670002669096ms
Info 143  [18:49:50.922] Different program with same set of files
Info 144  [18:49:52.607] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 145  [18:49:52.658] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 51.1926699988544ms
Info 146  [18:49:52.658] Different program with same set of files
Info 147  [18:49:52.659] getCompletionData: Get current token: 0.01983099803328514
Info 148  [18:49:52.659] getCompletionData: Is inside comment: 0.0059989988803863525
Info 149  [18:49:52.659] getCompletionData: Get previous token: 0.06854800134897232
Info 150  [18:49:52.659] getCompletionsAtPosition: isCompletionListBlocker: 0.07685999944806099
Info 151  [18:49:52.659] getCompletionData: Semantic work: 0.18603000044822693
Info 152  [18:49:52.763] getCompletionData: Get current token: 0.024013999849557877
Info 153  [18:49:52.764] getCompletionData: Is inside comment: 0.008556999266147614
Info 154  [18:49:52.764] getCompletionData: Get previous token: 0.047575999051332474
Info 155  [18:49:52.764] getCompletionsAtPosition: isCompletionListBlocker: 0.07224899902939796
Info 156  [18:49:52.764] getCompletionData: Semantic work: 0.18647200241684914
Info 157  [18:49:55.469] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 158  [18:49:55.521] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 51.25061099976301ms
Info 159  [18:49:55.521] Different program with same set of files
Info 160  [18:49:55.522] getCompletionData: Get current token: 0.021081000566482544
Info 161  [18:49:55.522] getCompletionData: Is inside comment: 0.009560000151395798
Info 162  [18:49:55.522] getCompletionData: Get previous token: 0.05588500201702118
Info 163  [18:49:55.522] getCompletionsAtPosition: isCompletionListBlocker: 0.019447997212409973
Info 164  [18:49:55.522] Returning an empty list because completion was requested in an invalid position.
Info 165  [18:49:55.551] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [18:49:55.584] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 32.29926399886608ms
Info 167  [18:49:55.584] Different program with same set of files
Info 168  [18:49:55.584] getCompletionData: Get current token: 0.02354399859905243
Info 169  [18:49:55.584] getCompletionData: Is inside comment: 0.006279997527599335
Info 170  [18:49:55.584] getCompletionData: Get previous token: 0.045857999473810196
Info 171  [18:49:55.585] getCompletionsAtPosition: isCompletionListBlocker: 0.014604002237319946
Info 172  [18:49:55.585] Returning an empty list because completion was requested in an invalid position.
Info 173  [18:49:55.705] getCompletionData: Get current token: 0.020406000316143036
Info 174  [18:49:55.705] getCompletionData: Is inside comment: 0.006101999431848526
Info 175  [18:49:55.705] getCompletionData: Get previous token: 0.042775001376867294
Info 176  [18:49:55.705] getCompletionsAtPosition: isCompletionListBlocker: 0.014570001512765884
Info 177  [18:49:55.705] Returning an empty list because completion was requested in an invalid position.
Info 178  [18:49:55.706] getCompletionData: Get current token: 0.019008997827768326
Info 179  [18:49:55.707] getCompletionData: Is inside comment: 0.013119999319314957
Info 180  [18:49:55.707] getCompletionData: Get previous token: 0.06386600062251091
Info 181  [18:49:55.707] getCompletionsAtPosition: isCompletionListBlocker: 0.06409399956464767
Info 182  [18:49:55.707] Returning an empty list because completion was requested in an invalid position.
Info 183  [18:49:55.708] getCompletionData: Get current token: 0.23855100199580193
Info 184  [18:49:55.708] getCompletionData: Is inside comment: 0.009885001927614212
Info 185  [18:49:55.708] getCompletionData: Get previous token: 0.06738599762320518
Info 186  [18:49:55.708] getCompletionsAtPosition: isCompletionListBlocker: 0.025897998362779617
Info 187  [18:49:55.708] Returning an empty list because completion was requested in an invalid position.
Info 188  [18:49:56.393] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [18:49:56.445] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 51.20821399986744ms
Info 190  [18:49:56.445] Different program with same set of files
Info 191  [18:49:56.446] getCompletionData: Get current token: 0.02197999879717827
Info 192  [18:49:56.446] getCompletionData: Is inside comment: 0.005709998309612274
Info 193  [18:49:56.446] getCompletionData: Get previous token: 0.05413300171494484
Info 194  [18:49:56.446] getCompletionsAtPosition: isCompletionListBlocker: 0.015344999730587006
Info 195  [18:49:56.446] Returning an empty list because completion was requested in an invalid position.
Info 196  [18:49:56.472] getCompletionData: Get current token: 0.01817300170660019
Info 197  [18:49:56.472] getCompletionData: Is inside comment: 0.005197998136281967
Info 198  [18:49:56.473] getCompletionData: Get previous token: 0.03645800054073334
Info 199  [18:49:56.473] getCompletionsAtPosition: isCompletionListBlocker: 0.015356000512838364
Info 200  [18:49:56.473] Returning an empty list because completion was requested in an invalid position.
Info 201  [18:49:56.496] getCompletionData: Get current token: 0.02273000031709671
Info 202  [18:49:56.496] getCompletionData: Is inside comment: 0.005594998598098755
Info 203  [18:49:56.496] getCompletionData: Get previous token: 0.043432001024484634
Info 204  [18:49:56.496] getCompletionsAtPosition: isCompletionListBlocker: 0.01573200151324272
Info 205  [18:49:56.496] Returning an empty list because completion was requested in an invalid position.
Info 206  [18:49:56.519] getCompletionData: Get current token: 0.021487001329660416
Info 207  [18:49:56.519] getCompletionData: Is inside comment: 0.006170999258756638
Info 208  [18:49:56.519] getCompletionData: Get previous token: 0.04854099825024605
Info 209  [18:49:56.519] getCompletionsAtPosition: isCompletionListBlocker: 0.01752600073814392
Info 210  [18:49:56.519] Returning an empty list because completion was requested in an invalid position.
Info 211  [18:49:56.796] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 212  [18:49:56.827] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 31.169218000024557ms
Info 213  [18:49:56.827] Different program with same set of files
Info 214  [18:49:56.827] getCompletionData: Get current token: 0.019964002072811127
Info 215  [18:49:56.827] getCompletionData: Is inside comment: 0.005125999450683594
Info 216  [18:49:56.828] getCompletionData: Get previous token: 0.04441099986433983
Info 217  [18:49:56.828] getCompletionsAtPosition: isCompletionListBlocker: 0.014504998922348022
Info 218  [18:49:56.828] Returning an empty list because completion was requested in an invalid position.
Info 219  [18:49:56.853] getCompletionData: Get current token: 0.04000700265169144
Info 220  [18:49:56.853] getCompletionData: Is inside comment: 0.012602999806404114
Info 221  [18:49:56.853] getCompletionData: Get previous token: 0.08319799974560738
Info 222  [18:49:56.853] getCompletionsAtPosition: isCompletionListBlocker: 0.04898200184106827
Info 223  [18:49:56.853] Returning an empty list because completion was requested in an invalid position.
Info 224  [18:49:56.879] getCompletionData: Get current token: 0.0509289987385273
Info 225  [18:49:56.880] getCompletionData: Is inside comment: 0.015379000455141068
Info 226  [18:49:56.880] getCompletionData: Get previous token: 0.10629500076174736
Info 227  [18:49:56.880] getCompletionsAtPosition: isCompletionListBlocker: 0.046264998614788055
Info 228  [18:49:56.880] Returning an empty list because completion was requested in an invalid position.
Info 229  [18:49:56.892] getCompletionData: Get current token: 0.058952998369932175
Info 230  [18:49:56.892] getCompletionData: Is inside comment: 0.017090000212192535
Info 231  [18:49:56.892] getCompletionData: Get previous token: 0.12246400117874146
Info 232  [18:49:56.892] getCompletionsAtPosition: isCompletionListBlocker: 0.04101499915122986
Info 233  [18:49:56.892] Returning an empty list because completion was requested in an invalid position.
Info 234  [18:49:57.126] getCompletionData: Get current token: 0.07168599963188171
Info 235  [18:49:57.126] getCompletionData: Is inside comment: 0.018431998789310455
Info 236  [18:49:57.126] getCompletionData: Get previous token: 0.13841700181365013
Info 237  [18:49:57.126] getCompletionsAtPosition: isCompletionListBlocker: 0.04226500168442726
Info 238  [18:49:57.126] Returning an empty list because completion was requested in an invalid position.
Info 239  [18:49:57.155] getCompletionData: Get current token: 0.07225599884986877
Info 240  [18:49:57.155] getCompletionData: Is inside comment: 0.020868998020887375
Info 241  [18:49:57.155] getCompletionData: Get previous token: 0.16742800176143646
Info 242  [18:49:57.156] getCompletionsAtPosition: isCompletionListBlocker: 0.06539399921894073
Info 243  [18:49:57.156] Returning an empty list because completion was requested in an invalid position.
Info 244  [18:49:57.164] getCompletionData: Get current token: 0.0670039989054203
Info 245  [18:49:57.164] getCompletionData: Is inside comment: 0.018091998994350433
Info 246  [18:49:57.164] getCompletionData: Get previous token: 0.15294399857521057
Info 247  [18:49:57.165] getCompletionsAtPosition: isCompletionListBlocker: 0.05304799973964691
Info 248  [18:49:57.165] Returning an empty list because completion was requested in an invalid position.
Info 249  [18:49:57.193] getCompletionData: Get current token: 0.055762000381946564
Info 250  [18:49:57.193] getCompletionData: Is inside comment: 0.016321998089551926
Info 251  [18:49:57.193] getCompletionData: Get previous token: 0.11355599761009216
Info 252  [18:49:57.193] getCompletionsAtPosition: isCompletionListBlocker: 0.04417300224304199
Info 253  [18:49:57.193] Returning an empty list because completion was requested in an invalid position.
Info 254  [18:49:57.697] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 255  [18:49:57.747] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 49.68548699840903ms
Info 256  [18:49:57.747] Different program with same set of files
Info 257  [18:49:57.748] getCompletionData: Get current token: 0.019464001059532166
Info 258  [18:49:57.748] getCompletionData: Is inside comment: 0.010600998997688293
Info 259  [18:49:57.748] getCompletionData: Get previous token: 0.03659899905323982
Info 260  [18:49:57.748] getCompletionsAtPosition: isCompletionListBlocker: 0.18657099828124046
Info 261  [18:49:57.748] Returning an empty list because completion was requested in an invalid position.
Info 262  [18:49:57.776] getCompletionData: Get current token: 0.017560001462697983
Info 263  [18:49:57.776] getCompletionData: Is inside comment: 0.005222000181674957
Info 264  [18:49:57.776] getCompletionData: Get previous token: 0.03551700338721275
Info 265  [18:49:57.776] getCompletionsAtPosition: isCompletionListBlocker: 0.029469002038240433
Info 266  [18:49:57.776] Returning an empty list because completion was requested in an invalid position.
Info 267  [18:49:57.799] getCompletionData: Get current token: 0.022592999041080475
Info 268  [18:49:57.799] getCompletionData: Is inside comment: 0.007243998348712921
Info 269  [18:49:57.800] getCompletionData: Get previous token: 0.038440000265836716
Info 270  [18:49:57.800] getCompletionsAtPosition: isCompletionListBlocker: 0.024170000106096268
Info 271  [18:49:57.800] Returning an empty list because completion was requested in an invalid position.
Info 272  [18:49:57.802] getCompletionData: Get current token: 0.01938600093126297
Info 273  [18:49:57.802] getCompletionData: Is inside comment: 0.005202997475862503
Info 274  [18:49:57.802] getCompletionData: Get previous token: 0.03713500127196312
Info 275  [18:49:57.802] getCompletionsAtPosition: isCompletionListBlocker: 0.01841599866747856
Info 276  [18:49:57.802] Returning an empty list because completion was requested in an invalid position.
Info 277  [18:50:00.543] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 278  [18:50:00.594] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 51.45975099876523ms
Info 279  [18:50:00.595] Different program with same set of files
Info 280  [18:50:00.595] getCompletionData: Get current token: 0.018681999295949936
Info 281  [18:50:00.595] getCompletionData: Is inside comment: 0.005114998668432236
Info 282  [18:50:00.595] getCompletionData: Get previous token: 0.04975900053977966
Info 283  [18:50:00.595] getCompletionsAtPosition: isCompletionListBlocker: 0.027307000011205673
Info 284  [18:50:00.595] Returning an empty list because completion was requested in an invalid position.
Info 285  [18:50:00.596] getCompletionData: Get current token: 0.01645900309085846
Info 286  [18:50:00.596] getCompletionData: Is inside comment: 0.004114001989364624
Info 287  [18:50:00.596] getCompletionData: Get previous token: 0.03360399976372719
Info 288  [18:50:00.596] getCompletionsAtPosition: isCompletionListBlocker: 0.015383001416921616
Info 289  [18:50:00.596] Returning an empty list because completion was requested in an invalid position.
Info 290  [18:50:00.596] getCompletionData: Get current token: 0.02017500251531601
Info 291  [18:50:00.596] getCompletionData: Is inside comment: 0.003963001072406769
Info 292  [18:50:00.596] getCompletionData: Get previous token: 0.03378000110387802
Info 293  [18:50:00.596] getCompletionsAtPosition: isCompletionListBlocker: 0.00955900177359581
Info 294  [18:50:00.596] Returning an empty list because completion was requested in an invalid position.
Info 295  [18:50:00.596] getCompletionData: Get current token: 0.01630300283432007
Info 296  [18:50:00.596] getCompletionData: Is inside comment: 0.0040400028228759766
Info 297  [18:50:00.596] getCompletionData: Get previous token: 0.03348900005221367
Info 298  [18:50:00.596] getCompletionsAtPosition: isCompletionListBlocker: 0.009196002036333084
Info 299  [18:50:00.596] Returning an empty list because completion was requested in an invalid position.
Info 300  [18:50:00.597] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 301  [18:50:00.624] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 26.941436998546124ms
Info 302  [18:50:00.624] Different program with same set of files
Info 303  [18:50:01.930] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 304  [18:50:01.985] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 54.673021998256445ms
Info 305  [18:50:01.985] Different program with same set of files
Info 306  [18:50:01.986] getCompletionData: Get current token: 0.01965399831533432
Info 307  [18:50:01.986] getCompletionData: Is inside comment: 0.004209000617265701
Info 308  [18:50:01.986] getCompletionData: Get previous token: 0.03799600154161453
Info 309  [18:50:01.986] getCompletionsAtPosition: isCompletionListBlocker: 0.015730001032352448
Info 310  [18:50:01.986] Returning an empty list because completion was requested in an invalid position.
Info 311  [18:50:01.986] getCompletionData: Get current token: 0.0163859985768795
Info 312  [18:50:01.986] getCompletionData: Is inside comment: 0.0037669986486434937
Info 313  [18:50:01.986] getCompletionData: Get previous token: 0.029171999543905258
Info 314  [18:50:01.986] getCompletionsAtPosition: isCompletionListBlocker: 0.011179998517036438
Info 315  [18:50:01.986] Returning an empty list because completion was requested in an invalid position.
Info 316  [18:50:01.986] getCompletionData: Get current token: 0.01573900133371353
Info 317  [18:50:01.986] getCompletionData: Is inside comment: 0.003321997821331024
Info 318  [18:50:01.986] getCompletionData: Get previous token: 0.028415001928806305
Info 319  [18:50:01.986] getCompletionsAtPosition: isCompletionListBlocker: 0.008685998618602753
Info 320  [18:50:01.986] Returning an empty list because completion was requested in an invalid position.
Info 321  [18:50:01.987] getCompletionData: Get current token: 0.021425999701023102
Info 322  [18:50:01.987] getCompletionData: Is inside comment: 0.0034860000014305115
Info 323  [18:50:01.987] getCompletionData: Get previous token: 0.029343999922275543
Info 324  [18:50:01.987] getCompletionsAtPosition: isCompletionListBlocker: 0.008562002331018448
Info 325  [18:50:01.987] Returning an empty list because completion was requested in an invalid position.
Info 326  [18:50:02.742] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 327  [18:50:02.800] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 57.78754999861121ms
Info 328  [18:50:02.800] Different program with same set of files
Info 329  [18:50:06.290] Format host information updated
Info 330  [18:54:10.023] Search path: /home/rodrigo/Workspace/wikidex-learning-react/src
Info 331  [18:54:10.023] For info: /home/rodrigo/Workspace/wikidex-learning-react/src/index.js :: No config files found.
Info 332  [18:54:10.027] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
